City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Kankakee,US,84.99,moderate rain,41.15,-87.87,Holiday Inn Express & Suites Bourbonnais (Kankakee/Bradley)
486,Matamoros,MX,90.0,broken clouds,25.53,-103.25,Recreativo Sabdy Briseidy
487,Cotonou,BJ,75.2,few clouds,6.37,2.42,Novotel Cotonou Orisha
491,Trinidad,BO,78.8,clear sky,-14.83,-64.9,Hotel Piesta
493,Ako,JP,75.99,clear sky,34.75,134.4,Hatsune
494,Nantucket,US,75.0,fog,41.28,-70.1,Jared Coffin House
496,Boa Vista,BR,82.4,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
498,Grants Pass,US,86.0,clear sky,42.44,-123.33,La Quinta Inn & Suites by Wyndham Grants Pass
502,The Valley,AI,87.8,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
504,Singkang,MY,75.2,few clouds,2.1,102.8,Kampung Seri Makmor Pagoh
509,Tomatlan,MX,89.47,light rain,19.93,-105.25,Norma franco
515,Champerico,GT,86.0,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
523,Erzin,TR,82.99,clear sky,36.96,36.2,Artemis Otel
526,Wajir,KE,76.44,overcast clouds,1.75,40.06,Al- Amin lodge
534,Savannah Bight,HN,84.43,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
539,Cativa,PA,82.0,light rain,9.36,-79.84,La Granja Campo y Aventura
540,Assiniboia,CA,80.87,clear sky,49.63,-105.98,Canalta Hotel Assiniboia
541,Eguia,PH,79.47,overcast clouds,15.91,119.89,Rosmin Nature's Hub Resort
543,Vilhena,BR,87.8,few clouds,-12.74,-60.15,Hotel Mirage
545,Bubaque,GW,80.78,overcast clouds,11.28,-15.83,Casa Dora
547,Jeremie,HT,77.31,heavy intensity rain,18.65,-74.12,Auberge Inn
548,Placido De Castro,BR,88.92,clear sky,-10.34,-67.19,Hotel Califórnia
557,Ranong,TH,79.21,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
560,Pundaguitan,PH,82.47,scattered clouds,6.37,126.17,Leonardo Family Beach House 1
570,Sterling,US,90.0,scattered clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
571,Valcourt,CA,78.8,broken clouds,45.5,-72.32,Gîte Au Blanc Marronnier
574,Koforidua,GH,77.0,broken clouds,6.09,-0.26,Ajaria Royal Palace Hotel
577,Kongolo,CD,83.32,overcast clouds,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
579,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
580,Samarai,PG,75.69,overcast clouds,-10.62,150.67,Nuli Sapi
581,Guane,CU,89.92,clear sky,22.2,-84.09,base de Campismo LosPortales de Guane
583,Itapirapua,BR,87.78,clear sky,-15.82,-50.61,Hotel Nossa Senhora Aparecida
584,Lagunas,PE,87.31,few clouds,-5.23,-75.68,Hospedaje Eco
592,Lumby,CA,79.0,overcast clouds,50.25,-118.97,Twin Creeks Motel
600,Celestun,MX,86.41,scattered clouds,20.87,-90.4,Posada Lilia
603,Sur,OM,80.38,scattered clouds,22.57,59.53,Sur Plaza Hotel
