City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Bethel,US,41.37,-73.41,87.01,54,1,10.29,clear sky
215,Port Hardy,CA,50.7,-127.42,55.4,93,75,5.82,broken clouds
216,Maryville,US,35.76,-83.97,86.0,62,40,3.36,scattered clouds
217,Hay River,CA,60.82,-115.8,59.0,67,75,11.41,broken clouds
218,Anapskaya,RU,44.89,37.38,66.2,52,0,11.18,clear sky
219,Luderitz,NA,-26.65,15.16,59.04,71,0,11.23,clear sky
220,Opunake,NZ,-39.46,173.86,53.01,87,69,8.01,light rain
221,Front Royal,US,38.92,-78.19,89.01,61,75,3.36,broken clouds
222,Olafsvik,IS,64.89,-23.71,51.08,71,11,7.34,few clouds
223,Katobu,ID,-4.94,122.53,70.61,93,25,3.27,scattered clouds
224,Labuhan,ID,-6.88,112.21,76.35,83,16,6.46,few clouds
225,Severo-Kurilsk,RU,50.68,156.12,53.28,78,31,0.22,scattered clouds
226,Virginia Beach,US,36.85,-75.98,89.6,49,75,14.99,broken clouds
227,Sabana Grande De Boya,DO,18.95,-69.79,87.8,79,90,6.93,overcast clouds
228,Ribeira Grande,PT,38.52,-28.7,75.2,88,40,8.05,scattered clouds
229,Pacific Grove,US,36.62,-121.92,81.0,60,40,4.7,smoke
230,Kaitangata,NZ,-46.28,169.85,53.01,91,93,15.99,overcast clouds
231,Sokoto,NG,13.06,5.24,80.44,73,98,8.43,moderate rain
232,Juneau,US,58.3,-134.42,57.99,93,90,6.93,moderate rain
233,Bandarbeyla,SO,9.49,50.81,75.87,76,91,31.09,overcast clouds
234,Kysyl-Syr,RU,63.9,122.76,39.27,85,0,5.7,clear sky
235,Gwadar,PK,25.12,62.33,82.08,84,77,8.01,broken clouds
236,Namatanai,PG,-3.67,152.43,79.5,80,97,5.73,light rain
237,Kasongo-Lunda,CD,-6.47,16.82,74.57,79,100,4.88,overcast clouds
238,Mastic Beach,US,40.77,-72.85,82.99,69,1,11.41,clear sky
239,Valparaiso,CL,-33.04,-71.63,57.2,66,59,19.46,broken clouds
240,Atar,MR,20.52,-13.05,101.71,22,20,10.22,few clouds
241,Porbandar,IN,21.64,69.61,81.48,85,100,20.47,light rain
242,Amapa,BR,1.0,-52.0,86.49,56,35,1.5,scattered clouds
243,Aswan,EG,24.09,32.91,87.49,22,0,8.48,clear sky
244,Surab,PK,28.49,66.26,73.47,65,6,3.87,clear sky
245,Fairbanks,US,64.84,-147.72,64.99,68,90,1.5,overcast clouds
246,Xining,CN,36.62,101.77,52.0,81,11,2.28,few clouds
247,Quatre Cocos,MU,-20.21,57.76,71.6,73,40,18.34,scattered clouds
248,Komsomolskiy,UZ,40.43,71.72,75.2,38,0,6.93,clear sky
249,Antalaha,MG,-14.9,50.28,67.33,85,63,7.72,broken clouds
250,East London,ZA,-33.02,27.91,60.82,75,4,6.58,clear sky
